player_link,player_url,URL,Link,name,team,Image,draft_year,pick_number,Date of Birth,Height,Weight,CTRCT,Cap Hit
https://www.eliteprospects.com/player/236340/lukas-dostal,https://www.eliteprospects.com/player/236340/lukas-dostal,https://www.eliteprospects.com/player/236340/lukas-dostal,,Lukas dostal,Anaheim Ducks,,0.0,250.0,2000-06-22,188.0,174.0,,
https://www.eliteprospects.com/player/45399/john-gibson,https://www.eliteprospects.com/player/45399/john-gibson,https://www.eliteprospects.com/player/45399/john-gibson,,John gibson,Anaheim Ducks,,0.0,250.0,1993-07-14,188.0,209.0,,
https://www.eliteprospects.com/player/33896/brian-dumoulin,https://www.eliteprospects.com/player/33896/brian-dumoulin,https://www.eliteprospects.com/player/33896/brian-dumoulin,https://www.eliteprospects.com/player/33896/brian-dumoulin,Brian Dumoulin,Anaheim Ducks,anaheim_ducks.png,2009.0,51.0,1991-09-06,193.0,207.0,24/25,"$3,150,000"
https://www.eliteprospects.com/player/31261/cam-fowler,https://www.eliteprospects.com/player/31261/cam-fowler,https://www.eliteprospects.com/player/31261/cam-fowler,https://www.eliteprospects.com/player/31261/cam-fowler,Cam Fowler,Anaheim Ducks,anaheim_ducks.png,2010.0,12.0,1991-12-05,188.0,214.0,25/26,"$6,500,000"
https://www.eliteprospects.com/player/18085/radko-gudas,https://www.eliteprospects.com/player/18085/radko-gudas,https://www.eliteprospects.com/player/18085/radko-gudas,https://www.eliteprospects.com/player/18085/radko-gudas,Radko Gudas,Anaheim Ducks,anaheim_ducks.png,2010.0,66.0,1990-06-05,183.0,207.0,25/26,"$4,000,000"
https://www.eliteprospects.com/player/369937/jackson-lacombe,https://www.eliteprospects.com/player/369937/jackson-lacombe,https://www.eliteprospects.com/player/369937/jackson-lacombe,https://www.eliteprospects.com/player/369937/jackson-lacombe,Jackson LaCombe,Anaheim Ducks,anaheim_ducks.png,2019.0,39.0,2001-01-09,188.0,201.0,25/26,"$925,000"
https://www.eliteprospects.com/player/527453/pavel-mintyukov,https://www.eliteprospects.com/player/527453/pavel-mintyukov,https://www.eliteprospects.com/player/527453/pavel-mintyukov,https://www.eliteprospects.com/player/527453/pavel-mintyukov,Pavel Mintyukov,Anaheim Ducks,anaheim_ducks.png,2022.0,10.0,2003-11-25,185.0,192.0,25/26,"$918,333"
https://www.eliteprospects.com/player/180538/urho-vaakanainen,https://www.eliteprospects.com/player/180538/urho-vaakanainen,https://www.eliteprospects.com/player/180538/urho-vaakanainen,https://www.eliteprospects.com/player/180538/urho-vaakanainen,Urho Vaakanainen,Anaheim Ducks,anaheim_ducks.png,2017.0,18.0,1999-01-01,188.0,201.0,24/25,"$1,100,000"
https://www.eliteprospects.com/player/476596/olen-zellweger,https://www.eliteprospects.com/player/476596/olen-zellweger,https://www.eliteprospects.com/player/476596/olen-zellweger,https://www.eliteprospects.com/player/476596/olen-zellweger,Olen Zellweger,Anaheim Ducks,anaheim_ducks.png,2021.0,34.0,2003-09-10,175.0,174.0,25/26,"$844,167"
https://www.eliteprospects.com/player/448944/leo-carlsson,https://www.eliteprospects.com/player/448944/leo-carlsson,https://www.eliteprospects.com/player/448944/leo-carlsson,https://www.eliteprospects.com/player/448944/leo-carlsson,Leo Carlsson,Anaheim Ducks,anaheim_ducks.png,2023.0,2.0,2004-12-26,190.0,198.0,25/26,"$950,000"
